record_id,transaction_date,location_id,region,subregion,country,state_province,city,plant,business_unit,market,sales_territory,latitude,longitude,product_id,product_line,product_family,product_category,product_subcategory,brand,sku,strategic_product_flag,launch_year,product_active_flag,customer_id,key_customer,customer_name,customer_group,customer_segment,industry,channel,account_manager,global_account_flag,customer_tier,customer_country,customer_region,customer_active_flag,scenario_id,scenario,scenario_type,version,currency_id,currency_code,currency_name,fx_rate_to_usd,fx_rate_date,reporting_currency_flag,revenue_usd,gross_sales_usd,discounts_usd,returns_usd,net_sales_usd,cogs_usd,gross_profit_usd,sgna_usd,rd_usd,ebit_usd,ebitda_usd,net_income_usd,depreciation_amortization,interest_amount,taxes_pct,order_backlog_usd,bookings_usd,pipeline_usd,capex_usd,opex_usd,working_capital_usd,cash_conversion_pct,headcount,productivity_per_head_usd,estimated_market_share_pct,on_time_delivery_pct,customer_quality_ppm,lost_time_incidents,inventory_usd,units_sold,price_per_unit
REC100000,10/13/2023,LOC011,Middle East & Africa,Middle East,United Arab Emirates,Dubai,Dubai,Dubai Distribution,Industrial,MEA,GCC,25.2,55.27,PROD002,Alpha,Sensors,Hardware,Temperature Sensors,Auron,AUR-AL-7201, y ,2021,,CUST001,Y,Acme Industrial LLC,Acme Group, Enterprise  ,Manufacturing,Direct,M. Chen,F,Tier 2,,MIDDLE EAST & AFRICA,Active,SCN003,Forecast,Rolling Forecast,RF_Q1,CUR009,AED,UAE Dirham,0.28,2023-10-01, n , 2718088.87 ,2859723.69,187566.65,3794.28,2668362.76,1801052.35,867310.41,363675.98,57457.98,446176.44,535755.05,353047.68,89578.61,"$44,214.10",12.2%,5659153.41,3743846.94,7934823.55,63378.5,496989.0,,0.4196,426,"6,200.76",0.1396,0.854,2181,1,2823277.19,4617,648.59
REC100001,2023-08-12,LOC011,Middle East & Africa,Middle East,United Arab Emirates,Dubai,Dubai,Dubai Distribution,Industrial,MEA,GCC,25.2,55.27,PROD011,Zeta,Edge Devices,Hardware,,Auron,AUR-ZE-8973,No,2022,0,CUST004,TRUE,MediCore Systems,MediCore,Enterprise,healthcare,Direct,S. Müller,0,Growth,POLAND,Europe,TRUE,SCN001,Actual,Actual,v1,CUR009,AED,UAE Dirham,0.27,2023-08-01,0,"5,212,647.47",5739568.24,"$609,504.58","21,633.84",5108429.82,"3,763,840.36",1344589.47,376528.17,"275,399.88",692661.42,854207.94,582841.81,161546.52,"$11,573.87",,5440915.49,6591189.58,16749309.44, 277950.13 ,787141.58,,0.4735,38,137174.93,,0.837,6438,1,3223348.24,1708,3380.62
REC100002,2023-04-01,LOC009,Asia Pacific,south asia,India,Karnataka,Bengaluru,Bengaluru Hub,Services,APAC,India,12.97,77.59,PROD002,Alpha,Sensors,Hardware,Temperature Sensors,Auron,AUR-AL-6279,,2021,Active,CUST013,F,FreshWave Beverages,FreshWave,SMB,Food & Beverage,Reseller,S. Müller, n ,Strategic,Germany,Europe,1,SCN004,Forecast,Rolling Forecast,RF_Q2,CUR007,INR,Indian Rupee,,2023-04-01,No,547334.36,572495.84,52139.57,,514716.18,393584.08,,97233.96,26629.69,-2731.56,"16,073.85",-4915.63,18805.41,2184.07,0.354,,579409.71,1324824.41,37503.56,132438.01,,0.8487,1582,325.87,0.259,0.9741,5057,0,"$413,153.19",163,
REC100003,2023-07-28,LOC004,Europe,Western Europe,Germany,Bavaria,Munich,Munich Works,Automotive,EMEA,DACH,48.14,11.58,PROD002,Alpha,Sensors,Hardware,Temperature Sensors,Auron,AUR-AL-2419,,2021,Y,CUST019,,BrightHome Retail,BrightHome,SMB,Retail,Marketplace,S. Müller, n ,Strategic,Germany,Europe,Active,SCN002,Budget,,FY26.1,CUR002,EUR,Euro,1.1,2023-07-01,FALSE,14241522.67,14932144.9,1434828.13,"$259,224.85","13,238,091.92",7825979.52,5412112.4,1731999.28,404984.18,3275128.94,3857380.27,2602612.23,582251.33,222425.84,14.74,28215590.66,18862266.84,71902216.92,976471.99,2310179.43,4173456.58,1.0741,1136,,23.6%,0.9777,6360,0,8584467.1,2620,5289.78
REC100004,2025-06-11,LOC003,North America,Mexico,Mexico,Nuevo León,Monterrey,Monterrey Hub,Industrial,LATAM,Mexico North,25.69,-100.32,PROD008,Epsilon,Services,Services,Implementation,ConsultPro,CON-EP-3146,N,2016,T,CUST017,, RapidLogix,RapidLogix,SMB,Logistics,Distributor,R. Patel,N,Growth,Mexico,North America,Active,SCN002,Budget,Plan,FY26.1,CUR003,MXN,Mexican Peso,0.06,2025-06-01,N,"$12,799,792.06",12773802.82,274713.24,20543.45,12478546.13,, 4634024.08 ,1906243.86,,2540460.94,3044843.66,2148984.71, 504382.72 ,"33,199.78",0.1429,7514631.94,12422677.75,46290990.04,1096778.09,2402559.71,"1,003,463.99",1.002,1922,"$6,496.26",0.16,82.0%,2978,0,9394513.04,256,51368.38
REC100005,2023-07-18,LOC004,Europe,Western Europe,Germany,bavaria,Munich,Munich Works,Automotive,EMEA,DACH,,11.58,PROD010,Zeta,Edge Devices,Hardware,Gateways,Auron,AUR-ZE-6992,1,2024,TRUE,CUST009,TRUE,GreenGrid Utilities,GreenGrid,Enterprise,Utilities,Direct,A. BROWN, n ,Growth,Germany,Europe,Active,SCN002,Budget,Plan,FY26.1,CUR002,EUR,Euro,1.11,2023-07-01, n ,1031007.38,978269.23,"19,481.91",14434.87,944352.45,503049.01,441303.43,74133.91,42926.09,324243.44,370384.1,201313.17,46140.67,10912.32,0.3575,1082911.38,1403118.26,,51272.19,"140,305.25",306385.29,0.604,501,"1,917.68",0.1806,0.7962,6193,3,893528.21,472,1998.31
REC100006,2024-12-21,LOC007,Asia Pacific,East Asia,China,Guangdong,Shenzhen,Shenzhen Campus,Electronics,APAC,Greater China,22.54,114.06,PROD012,Theta,Power,Hardware,Power Supplies,Voltis,VOL-TH-1502, n ,2014,TRUE,CUST002, y ,BluePeak Energy,BluePeak Holdings,Key Accounts,Energy,Direct,L. García,Yes,Tier 2,Brazil,Latin America,T,SCN005,Prior Year,Historical,PY,CUR005,CNY,Chinese Yuan,0.13,12/01/2024,N,4573110.08,"5,704,802.47",587543.74,104843.16,5012415.56,3269247.81,1743167.75,867202.99,"$130,968.80",744995.97,990513.42,476324.82,245517.46,83866.15,0.2795,2746932.49,6141733.11,26200499.3,432001.18,1039117.7,702892.46,0.877,1295,"3,940.77",0.3506,0.8555,1501,2,4270009.52,4306,1413.45
REC100007,2024-12-17,LOC010,Latin America,Brazil,Brazil,São Paulo,Campinas,Campinas Plant,Consumer,LATAM,Brazil Southeast,-22.91,-47.06,PROD003,Beta,Controllers,Hardware,Programmable Controllers,Nexa,NEX-BE-9626,F,2017,1, CUST011 ,,Apex Robotics, apex group,Key Accounts,Technology,DIRECT,D. Johnson,Y,Growth,,Latin America,T,SCN001,Actual,Actual,v1,cur008,BRL,Brazilian Real,0.2,2024-12-01,F,"2,730,433.27",3066164.02,247697.79,50358.15,2768108.08,1912345.43,"855,762.66",533124.35,82846.99,239791.32,368502.58,162023.55,128711.27,10192.6,29.43,1335011.24, 3084484.91 ,6845267.92,261043.72,643963.66,887854.95,0.494,593,"$4,604.44",0.0631,0.8436,6471,0,3123624.16,3360,904.03
REC100008,2023-06-19,LOC003,North America,Mexico,Mexico,Nuevo León,Monterrey,Monterrey Hub,Industrial,LATAM,Mexico North,25.69,$-100.32,PROD008,Epsilon,Services,Services,Implementation,ConsultPro,CON-EP-8179,,2016, y ,CUST016,Yes,TerraPharm,TerraPharm,Enterprise,Pharma,Direct,M. Chen,F,Growth,India,Asia Pacific,1,SCN001,Actual,actual,v1,CUR003,MXN,Mexican Peso,0.06,2023-06-01, n ,1052786.1,1084960.37,23094.22,3557.8,1058308.35,649562.92,408745.43,169829.71,9700.58,229215.14,"$258,589.90", 151045.58 ,29374.76,10634.24,0.309,2143656.08,1422718.26,3749294.65,71118.06,204528.0,103546.33,0.8534,1693,621.85,14.1%,0.9522,5580,0,292189.64,45,24932.95
REC100009,2023-07-04,LOC009,Asia Pacific,South Asia,India,Karnataka,BENGALURU,Bengaluru Hub, Services ,APAC,India,12.97,77.59,PROD008,Epsilon,Services,Services,Implementation,ConsultPro,CON-EP-7114,F,2016,,CUST016,T,TerraPharm,TerraPharm,Enterprise,Pharma,Direct,M. Chen,,Tier 3,India,Asia Pacific,1,SCN004,Forecast,Rolling Forecast,RF_Q2,CUR007,INR,Indian Rupee,0.01,2023-07-01, n ,17669957.19,17487511.71,716099.57,104491.17,, 11362776.40 ,5304144.58,1666771.66,"$86,741.91",3550631.02,3788966.04,2820765.38,238335.03,73514.94,0.1888,20161661.3,17358050.5,24163032.82,248796.54,"2,040,646.39",3339179.34,56.65,1612,"10,568.22",19.41,0.9443,2306,1,15875918.08,263,"$71,667.92"
